Harga Minyak Malaysia	Harga Minyak Petrol RON95
23 Nov 2023	RM2.05 (RM0)
16 Nov 2023	RM2.05 (RM0)
09 Nov 2023	RM2.05 (RM0)
02 Nov 2023	RM2.05 (RM0)
26 Oct 2023	RM2.05 (RM0)
19 Oct 2023	RM2.05 (RM0)
12 Oct 2023	RM2.05 (RM0)
05 Oct 2023	RM2.05 (RM0)
28 Sep 2023	RM2.05 (RM0)
21 Sep 2023	RM2.05 (RM0)
14 Sep 2023	RM2.05 (RM0)
07 Sep 2023	RM2.05 (RM0)
31 Aug 2023	RM2.05 (RM0)
24 Aug 2023	RM2.05 (RM0)
17 Aug 2023	RM2.05 (RM0)
10 Aug 2023	RM2.05 (RM0)
03 Aug 2023	RM2.05 (RM0)
27 Jul 2023	RM2.05 (RM0)
20 Jul 2023	RM2.05 (RM0)
13 Jul 2023	RM2.05 (RM0)
06 Jul 2023	RM2.05 (RM0)
29 Jun 2023	RM2.05 (RM0)
22 Jun 2023	RM2.05 (RM0)
15 Jun 2023	RM2.05 (RM0)
08 Jun 2023	RM2.05 (RM0)
01 Jun 2023	RM2.05 (RM0)
25 May 2023	RM2.05 (RM0)
18 May 2023	RM2.05 (RM0)
11 May 2023	RM2.05 (RM0)
04 May 2023	RM2.05 (RM0)
27 Apr 2023	RM2.05 (RM0)
20 Apr 2023	RM2.05 (RM0)
13 Apr 2023	RM2.05 (RM0)
06 Apr 2023	RM2.05 (RM0)
30 Mar 2023	RM2.05 (RM0)
23 Mar 2023	RM2.05 (RM0)
16 Mar 2023	RM2.05 (RM0)
09 Mar 2023	RM2.05 (RM0)
02 Mar 2023	RM2.05 (RM0)
23 Feb 2023	RM2.05 (RM0)
16 Feb 2023	RM2.05 (RM0)
09 Feb 2023	RM2.05 (RM0)
02 Feb 2023	RM2.05 (RM0)
26 Jan 2023	RM2.05 (RM0)
19 Jan 2023	RM2.05 (RM0)
12 Jan 2023	RM2.05 (RM0)
05 Jan 2023	RM2.05 (RM0)
29 Dec 2022 RM2.05 (RM0)
22 Dec 2022	RM2.05 (RM0)
15 Dec 2022	RM2.05 (RM0)
08 Dec 2022	RM2.05 (RM0)
01 Dec 2022	RM2.05 (RM0)
24 Nov 2022	RM2.05 (RM0)
17 Nov 2022	RM2.05 (RM0)
10 Nov 2022	RM2.05 (RM0)
03 Nov 2022	RM2.05 (RM0)
27 Oct 2022	RM2.05 (RM0)
20 Oct 2022	RM2.05 (RM0)
13 Oct 2022	RM2.05 (RM0)
06 Oct 2022	RM2.05 (RM0)
29 Sep 2022	RM2.05 (RM0)
22 Sep 2022	RM2.05 (RM0)
15 Sep 2022	RM2.05 (RM0)
01 Sep 2022	RM2.05 (RM0)
25 Aug 2022	RM2.05 (RM0)
18 Aug 2022	RM2.05 (RM0)
11 Aug 2022	RM2.05 (RM0)
04 Aug 2022	RM2.05 (RM0)
28 Jul 2022	RM2.05 (RM0)
21 Jul 2022	RM2.05 (RM0)
14 Jul 2022	RM2.05 (RM0)
07 Jul 2022	RM2.05 (RM0)
30 Jun 2022	RM2.05 (RM0)
23 Jun 2022	RM2.05 (RM0)
16 Jun 2022	RM2.05 (RM0)
09 Jun 2022	RM2.05 (RM0)
02 Jun 2022	RM2.05 (RM0)
26 May 2022	RM2.05 (RM0)
19 May 2022	RM2.05 (RM0)
12 May 2022	RM2.05 (RM0)
05 May 2022	RM2.05 (RM0)
